address/city,address/state,address/streetAddress,address/zipcode,bathrooms,bedrooms,datePriceChanged,daysOnZillow,favoriteCount,homeStatus,homeType,isNonOwnerOccupied,latitude,listing_sub_type/is_FSBA,listing_sub_type/is_FSBO,listing_sub_type/is_bankOwned,listing_sub_type/is_comingSoon,listing_sub_type/is_forAuction,listing_sub_type/is_foreclosure,listing_sub_type/is_newHome,listing_sub_type/is_openHouse,listing_sub_type/is_pending,livingArea,longitude,monthlyHoaFee,mortgageRates,mortgageRates/arm5Rate,mortgageRates/fifteenYearFixedRate,mortgageRates/thirtyYearFixedRate,pageViewCount,parentRegion,parentRegion/name,price,priceChange,propertyTaxRate,rentZestimate,restimateHighPercent,restimateLowPercent,taxAssessedValue,taxAssessedYear,timeOnZillow,url,yearBuilt,zestimate,zestimateHighPercent,zestimateLowPercent
Philadelphia,PA,"Kahn Model Plan, Regent Row",19122,3,3,,1,1,FOR_SALE,TOWNHOUSE,FALSE,39.976463,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,3364,-75.13466,,,3.483,3.688,4.314,59,,West Kensington,899000,,0.98,,,,,,1 day,https://www.zillow.com/community/regent-row/2065644535_zpid/,2022,,,
Philadelphia,PA,1736 S 20th St,19145,1,3,,1,35,FOR_SALE,TOWNHOUSE,FALSE,39.92946,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1200,-75.17864,,,4.591,3.941,4.602,539,,Point Breeze,234000,,0.98,1474,8,7,122000,2021,1 day,https://www.zillow.com/homedetails/1736-S-20th-St-Philadelphia-PA-19145/10366792_zpid/,1920,223600,11,10
Philadelphia,PA,349 W Mount Airy Ave,19119,2,3,,1,99,FOR_SALE,SINGLE_FAMILY,FALSE,40.05462,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1758,-75.19737,,,3.951,3.594,4.426,1362,,Mount Airy West,399900,,0.98,1800,22,17,336200,2021,1 day,https://www.zillow.com/homedetails/349-W-Mount-Airy-Ave-Philadelphia-PA-19119/10214049_zpid/,1865,391900,11,11
Philadelphia,PA,1501 N Redfield St,19151,1,2,,1,20,FOR_SALE,SINGLE_FAMILY,FALSE,39.97458,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,952,-75.23889,,,,,,265,,Carroll Park,89900,,0.98,1032,24,14,39900,2021,1 day,https://www.zillow.com/homedetails/1501-N-Redfield-St-Philadelphia-PA-19151/10344091_zpid/,1925,123200,31,26
Philadelphia,PA,4842 Cedar Ave,19143,3,6,,1,21,FOR_SALE,SINGLE_FAMILY,FALSE,39.949455,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2700,-75.220764,,,3.792,3.486,4.322,508,,Cedar Park,669000,,0.98,3053,29,46,311200,2021,1 day,https://www.zillow.com/homedetails/4842-Cedar-Ave-Philadelphia-PA-19143/10451904_zpid/,1900,709000,17,15
Philadelphia,PA,5628 Catharine St,19143,2,4,,1,8,FOR_SALE,TOWNHOUSE,FALSE,39.949898,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1460,-75.23627,,,,,,335,,Cobbs Creek,120000,,0.98,1249,12,5,82700,2021,1 day,https://www.zillow.com/homedetails/5628-Catharine-St-Philadelphia-PA-19143/10454318_zpid/,1925,103800,25,26
Philadelphia,PA,2523 Waverly St,19146,2,2,,1,22,FOR_SALE,TOWNHOUSE,FALSE,39.947342,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,912,-75.1825,,,3.792,3.486,4.322,478,,Fitler Square,599000,,0.98,2139,25,18,413800,2021,1 day,https://www.zillow.com/homedetails/2523-Waverly-St-Philadelphia-PA-19146/10210389_zpid/,1950,568400,9,9
Philadelphia,PA,744 N Judson St,19130,1,2,,1,48,FOR_SALE,TOWNHOUSE,FALSE,39.969032,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,1014,-75.1757,,,3.951,3.594,4.426,743,,Fairmount,397000,,0.98,,,,269800,2021,1 day,https://www.zillow.com/homedetails/744-N-Judson-St-Philadelphia-PA-19130/10242078_zpid/,1920,,,
Philadelphia,PA,713 Sears St,19147,1,2,,1,15,FOR_SALE,TOWNHOUSE,FALSE,39.932434,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,800,-75.15654,,,3.951,3.594,4.426,230,,Passyunk Square,379000,,0.98,1450,17,11,121300,2021,1 day,https://www.zillow.com/homedetails/713-Sears-St-Philadelphia-PA-19147/10173164_zpid/,1915,326700,6,6
Philadelphia,PA,1832 S Sartain St,19148,2,3,,1,16,FOR_SALE,TOWNHOUSE,FALSE,39.92679,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,956,-75.16498,,,3.951,3.594,4.426,291,,East Passyunk,415000,,0.98,1838,27,9,328000,2021,1 day,https://www.zillow.com/homedetails/1832-S-Sartain-St-Philadelphia-PA-19148/10397313_zpid/,1925,362000,6,6
